ID,Temp,Yield,Comp
139,600,1065,AlNbTiVZr0.25
140,800,855,AlNbTiVZr0.25
141,1683,0,AlNbTiVZr0.25
142,25,1485,AlNbTiVZr0.5
143,600,1135,AlNbTiVZr0.5
144,800,675,AlNbTiVZr0.5
145,1698,0,AlNbTiVZr0.5
146,25,1535,AlNbTiVZr1.5
147,600,1195,AlNbTiVZr1.5
148,800,180,AlNbTiVZr1.5
149,1727,0,AlNbTiVZr1.5
150,850,290,C0.1Co45Cr25Fe15Ni15
151,850,230,C0.1Co45Cr25Fe15Ni15
152,850,150,C0.1Co45Cr25Fe15Ni15
153,900,260,C0.1Co45Cr25Fe15Ni15
154,900,160,C0.1Co45Cr25Fe15Ni15
155,900,110,C0.1Co45Cr25Fe15Ni15
156,950,140,C0.1Co45Cr25Fe15Ni15
157,950,110,C0.1Co45Cr25Fe15Ni15
158,950,80,C0.1Co45Cr25Fe15Ni15
159,1000,150,C0.1Co45Cr25Fe15Ni15
160,1000,90,C0.1Co45Cr25Fe15Ni15
161,1000,50,C0.1Co45Cr25Fe15Ni15
162,1598.55,0,C0.1Co45Cr25Fe15Ni15
163,25,1265,C0.1Hf0.25NbTaW0.5
164,1000,768,C0.1Hf0.25NbTaW0.5
165,1200,733,C0.1Hf0.25NbTaW0.5
166,1400,639,C0.1Hf0.25NbTaW0.5
167,3031.91,0,C0.1Hf0.25NbTaW0.5
168,25,1317,C0.25Hf0.25NbTaW0.5
169,1000,868,C0.25Hf0.25NbTaW0.5
170,1200,792,C0.25Hf0.25NbTaW0.5
171,1400,749,C0.25Hf0.25NbTaW0.5
172,3052.25,0,C0.25Hf0.25NbTaW0.5
173,25,310,CoCrFeHf0.1Ni
174,600,220,CoCrFeHf0.1Ni
175,800,170,CoCrFeHf0.1Ni
176,1633.34,0,CoCrFeHf0.1Ni
177,25,450,CoCrFeHf0.2Ni
178,600,360,CoCrFeHf0.2Ni
179,800,260,CoCrFeHf0.2Ni
180,1666.29,0,CoCrFeHf0.2Ni
181,25,810,CoCrFeHf0.3Ni
182,600,710,CoCrFeHf0.3Ni
183,800,400,CoCrFeHf0.3Ni
184,1697.7,0,CoCrFeHf0.3Ni
185,25,1180,CoCrFeHf0.4Ni
186,600,1150,CoCrFeHf0.4Ni
187,800,540,CoCrFeHf0.4Ni
