ID,Temp,Yield,Comp
577,25,1550,HfNbTaTiWZr
578,800,577,HfNbTaTiWZr
579,1000,409,HfNbTaTiWZr
580,1200,345,HfNbTaTiWZr
581,2445.33,0,HfNbTaTiWZr
582,25,1073,HfNbTaTiZr
583,25,1015,HfNbTaTiZr
584,25,1520,HfNbTaTiZr
585,25,795,HfNbTaTiZr
586,25,1900,HfNbTaTiZr
587,25,830,HfNbTaTiZr
588,25,1303,HfNbTaTiZr
589,25,1202,HfNbTaTiZr
590,25,1145,HfNbTaTiZr
591,25,958,HfNbTaTiZr
592,25,944,HfNbTaTiZr
593,25,940,HfNbTaTiZr
594,25,929,HfNbTaTiZr
595,25,905,HfNbTaTiZr
596,25,890,HfNbTaTiZr
597,25,828,HfNbTaTiZr
598,25,827,HfNbTaTiZr
599,25,820,HfNbTaTiZr
600,25,803,HfNbTaTiZr
601,400,790,HfNbTaTiZr
602,800,475,HfNbTaTiZr
603,800,285,HfNbTaTiZr
604,20,834,HfNbTaTi
605,20,860,HfNbTaTi
606,200,610,HfNbTaTi
607,600,473,HfNbTaTi
608,2348.75,0,HfNbTaTi
609,25,1000,HfNbTiZr
610,800,303,HfNbTiZr
611,1000,154,HfNbTiZr
612,2058.25,0,HfNbTiZr
613,25,2483,MoNbSi0.75TaW
614,1200,960,MoNbSi0.75TaW
615,2652.53,0,MoNbSi0.75TaW
616,25,1455,MoNbTaTiW
617,25,1343,MoNbTaTiW
618,600,689,MoNbTaTiW
619,800,674,MoNbTaTiW
620,1000,620,MoNbTaTiW
621,1200,586,MoNbTaTiW
622,2641,0,MoNbTaTiW
623,20,1210,MoNbTaTi
624,60,1071,MoNbTaTi
625,100,1029,MoNbTaTi
626,200,868,MoNbTaTi
627,300,732,MoNbTaTi
628,400,685,MoNbTaTi
629,600,593,MoNbTaTi
630,800,564,MoNbTaTi
631,1000,539,MoNbTaTi
632,2403.6,0,MoNbTaTi
633,25,1246,MoNbTaVW
634,25,996,MoNbTaW
635,25,1058,MoNbTaW
636,25,1217,MoNbTaW
637,23,1706,MoNbTiVZr
638,1000,467,MoNbTiVZr
639,1200,116,MoNbTiVZr
640,2106.6,0,MoNbTiVZr
641,23,1100,MoNbTi
642,1000,504,MoNbTi
643,1200,324,MoNbTi
644,2256,0,MoNbTi
645,25,918,Nb0.5Ti0.5VZr0.5
646,600,571,Nb0.5Ti0.5VZr0.5
647,800,240,Nb0.5Ti0.5VZr0.5
648,1000,72,Nb0.5Ti0.5VZr0.5
649,1964,0,Nb0.5Ti0.5VZr0.5
650,23,1244,NbRe0.3TiZr
651,1000,323,NbRe0.3TiZr
652,1200,89,NbRe0.3TiZr
653,2107.73,0,NbRe0.3TiZr
654,23,882,NbTa0.3TiZr
655,1000,274,NbTa0.3TiZr
656,1200,102,NbTa0.3TiZr
657,2092.45,0,NbTa0.3TiZr
658,23,1395,NbTaTiVZr
659,1000,190,NbTaTiVZr
660,20,1054,NbTaTiW
661,100,968,NbTaTiW
662,200,869,NbTaTiW
663,300,754,NbTaTiW
664,400,627,NbTaTiW
665,600,596,NbTaTiW
666,800,564,NbTaTiW
667,1000,459,NbTaTiW
668,2646,0,NbTaTiW
669,20,573,NbTaTi
670,100,486,NbTaTi
671,200,378,NbTaTi
672,300,314,NbTaTi
673,400,232,NbTaTi
674,600,222,NbTaTi
675,800,210,NbTaTi
676,1000,160,NbTaTi
677,2387.33,0,NbTaTi
678,23,975,NbTiZr
679,800,462,NbTiZr
680,1000,141,NbTiZr
681,1000,218,NbTiZr
682,1200,61,NbTiZr
683,2000,0,NbTiZr
684,800,518,TiZrTa0.7NbMo
685,1000,342,TiZrTa0.7NbMo
686,1200,113,TiZrTa0.7NbMo
687,25,1349,TiZrTa0.7NbMo
688,25,1030,Ti0.42Hf0.21Nb0.21V0.16
689,400,681,Ti0.42Hf0.21Nb0.21V0.16
690,500,661,Ti0.42Hf0.21Nb0.21V0.16
691,600,625,Ti0.42Hf0.21Nb0.21V0.16
692,800,0,Ti0.42Hf0.21Nb0.21V0.16
693,25,1399,HfNbTiVSi0.5
694,800,875,HfNbTiVSi0.5
695,1000,240,HfNbTiVSi0.5
696,25,1390,NbMoTaW
697,800,694,NbMoTaW
698,1200,312,NbMoTaW
699,25,1471,Cr24.75Mo24.75Nb24.75V24.75C1
700,400,1145,Cr24.75Mo24.75Nb24.75V24.75C1
701,600,1050,Cr24.75Mo24.75Nb24.75V24.75C1
702,800,923,Cr24.75Mo24.75Nb24.75V24.75C1
703,1000,787,Cr24.75Mo24.75Nb24.75V24.75C1
704,20,977,Ti37V15Nb22Hf23W3
705,100,893,Ti37V15Nb22Hf23W3
706,200,759,Ti37V15Nb22Hf23W3
707,400,697,Ti37V15Nb22Hf23W3
708,600,729,Ti37V15Nb22Hf23W3
709,700,648,Ti37V15Nb22Hf23W3
710,800,575,Ti37V15Nb22Hf23W3
711,950,186,Ti37V15Nb22Hf23W3
712,25,1410,MoTaVW
713,900,780,MoTaVW
714,1000,750,MoTaVW
715,1100,720,MoTaVW
716,1200,575,MoTaVW
717,1300,425,MoTaVW
718,1400,340,MoTaVW
719,1500,160,MoTaVW
720,700,667,NbTaTiV
721,800,580,NbTaTiV
722,900,540,NbTaTiV
723,1000,437,NbTaTiV
724,25,1373,NbTaTiV
725,25,1225,Ti30Hf20Nb20Ta10V10Mo7W3
726,800,734,Ti30Hf20Nb20Ta10V10Mo7W3
727,1000,355,Ti30Hf20Nb20Ta10V10Mo7W3
728,25,1550,MoNbV
729,25,1520,MoNbVTa0.3
730,25,1505,MoNbVTa0.5
731,25,1451,MoNbVTa0.7
732,25,1344,MoNbVTa
733,600,731,MoNbV
734,600,774,MoNbVTa0.3
735,600,830,MoNbVTa0.5
736,600,835,MoNbVTa0.7
737,600,844,MoNbVTa
738,1000,708,MoNbV
739,1000,723,MoNbVTa0.3
740,1000,807,MoNbVTa0.5
741,1000,782,MoNbVTa0.7
742,1000,786,MoNbVTa
743,1200,640,MoNbV
744,1200,644,MoNbVTa0.3
745,1200,697,MoNbVTa0.5
746,1200,652,MoNbVTa0.7
747,1200,647,MoNbVTa
