,Temp,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd
35,25,786,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0
36,900,120,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0
37,1000,90,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0
38,1100,50,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0
39,1200,30,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0
40,1476.35,0,Al0.6CoCrFeNi,0.130434783,0.217391304,0,0.217391304,0.217391304,0.217391304,0,0,0,0,0,0,0,0,0,0,0
41,25,900,Al10Mo10Nb20Ti40V20,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.1,0,0,0,0
42,800,520,Al10Mo10Nb20Ti40V20,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.1,0,0,0,0
43,1000,155,Al10Mo10Nb20Ti40V20,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.1,0,0,0,0
44,1872.93,0,Al10Mo10Nb20Ti40V20,0.1,0,0,0,0,0,0,0,0.4,0.2,0,0.2,0.1,0,0,0,0
45,22,1750,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0
46,600,1290,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0
47,700,625,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0
48,800,300,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0
49,1000,60,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0
50,1704.7,0,Al15Cr20Nb15Ti40Zr10,0.15,0.2,0,0,0,0,0,0,0.4,0,0.1,0.15,0,0,0,0,0
51,25,971,Al15Mo10Nb20Ti35V20,0.15,0,0,0,0,0,0,0,0.35,0.2,0,0.2,0.1,0,0,0,0
52,800,550,Al15Mo10Nb20Ti35V20,0.15,0,0,0,0,0,0,0,0.35,0.2,0,0.2,0.1,0,0,0,0
53,1000,160,Al15Mo10Nb20Ti35V20,0.15,0,0,0,0,0,0,0,0.35,0.2,0,0.2,0.1,0,0,0,0
54,1822.55,0,Al15Mo10Nb20Ti35V20,0.15,0,0,0,0,0,0,0,0.35,0.2,0,0.2,0.1,0,0,0,0
55,25,1187,Al20Mo10Nb20Ti30V20,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0
56,800,624,Al20Mo10Nb20Ti30V20,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0
57,1000,180,Al20Mo10Nb20Ti30V20,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0
58,1772.16,0,Al20Mo10Nb20Ti30V20,0.2,0,0,0,0,0,0,0,0.3,0.2,0,0.2,0.1,0,0,0,0
59,700,1105,Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0,0,0,0,0,0.32,0,0.1,0.15,0,0,0,0,0
60,800,560,Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0,0,0,0,0,0.32,0,0.1,0.15,0,0,0,0,0
61,1000,130,Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0,0,0,0,0,0.32,0,0.1,0.15,0,0,0,0,0
62,1624.08,0,Al23Cr20Nb15Ti32Zr10,0.23,0.2,0,0,0,0,0,0,0.32,0,0.1,0.15,0,0,0,0,0
63,800,810,Al28Cr20Nb15Ti27Zr10,0.28,0.2,0,0,0,0,0,0,0.27,0,0.1,0.15,0,0,0,0,0
64,1000,155,Al28Cr20Nb15Ti27Zr10,0.28,0.2,0,0,0,0,0,0,0.27,0,0.1,0.15,0,0,0,0,0
65,1573.7,0,Al28Cr20Nb15Ti27Zr10,0.28,0.2,0,0,0,0,0,0,0.27,0,0.1,0.15,0,0,0,0,0
66,25,1300,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0
67,600,1005,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0
68,800,640,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0
69,1000,40,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0
70,1704,0,AlCr0.5NbTiV,0.222222222,0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0
71,25,1700,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0
72,600,1370,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0
73,800,970,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0
74,1000,75,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0
75,1741,0,AlCr1.5NbTiV,0.181818182,0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0.181818182,0,0,0,0,0
76,25,1010,AlCrMoNbTi,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
