Comp,Tbreak,YS at Tbreak,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd,Hf,Si,VEC,ElectDiff,Atomic Size Diff,Mixing Enthalpy,Mixing Entropy,AVG Shear Modulus,AVG Bulk Modulus,AVG Possion Ratio,Itinerate Electron,Cohesive Energy,Gamma,Local Size Mismatch,Local Shear Modulus Mismatch,Local Electronegativity Mismatch,Avg Melting Pt,VEC_log,VEC_sqrt,VEC_square,VEC_cube,VEC_exp,ElectDiff_log,ElectDiff_sqrt,ElectDiff_square,ElectDiff_cube,ElectDiff_exp,Atomic Size Diff_log,Atomic Size Diff_sqrt,Atomic Size Diff_square,Atomic Size Diff_cube,Atomic Size Diff_exp,Mixing Enthalpy_log,Mixing Enthalpy_sqrt,Mixing Enthalpy_square,Mixing Enthalpy_cube,Mixing Enthalpy_exp,Mixing Entropy_log,Mixing Entropy_sqrt,Mixing Entropy_square,Mixing Entropy_cube,Mixing Entropy_exp,AVG Shear Modulus_log,AVG Shear Modulus_sqrt,AVG Shear Modulus_square,AVG Shear Modulus_cube,AVG Shear Modulus_exp,AVG Bulk Modulus_log,AVG Bulk Modulus_sqrt,AVG Bulk Modulus_square,AVG Bulk Modulus_cube,AVG Bulk Modulus_exp,AVG Possion Ratio_log,AVG Possion Ratio_sqrt,AVG Possion Ratio_square,AVG Possion Ratio_cube,AVG Possion Ratio_exp,Itinerate Electron_log,Itinerate Electron_sqrt,Itinerate Electron_square,Itinerate Electron_cube,Itinerate Electron_exp,Cohesive Energy_log,Cohesive Energy_sqrt,Cohesive Energy_square,Cohesive Energy_cube,Cohesive Energy_exp,Gamma_log,Gamma_sqrt,Gamma_square,Gamma_cube,Gamma_exp,Local Size Mismatch_log,Local Size Mismatch_sqrt,Local Size Mismatch_square,Local Size Mismatch_cube,Local Size Mismatch_exp,Local Shear Modulus Mismatch_log,Local Shear Modulus Mismatch_sqrt,Local Shear Modulus Mismatch_square,Local Shear Modulus Mismatch_cube,Local Shear Modulus Mismatch_exp,Local Electronegativity Mismatch_log,Local Electronegativity Mismatch_sqrt,Local Electronegativity Mismatch_square,Local Electronegativity Mismatch_cube,Local Electronegativity Mismatch_exp,Avg Melting Pt_log,Avg Melting Pt_sqrt,Avg Melting Pt_square,Avg Melting Pt_cube,Assigned Point,Criteria Satisfied,Temp Range
MoNbTaTi,1623.516272,355.41577,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0,5.25,0.26795522,2.77353204,-3,11.52565132,83.25,177.5,0.3525,5.5,6.0875,1.076472201,0.0163125,6.6875,-0.1275,2787.65,1.658228077,2.291287847,27.5625,144.703125,190.5662685,-1.316935402,0.517643912,0.0718,0.019239185,1.307288598,1.020121613,1.665392458,7.692479977,21.33533968,16.01510021,1.098612289,1.732050808,9,-27,0.049787068,2.444575101,3.394944966,132.8406384,1531.074879,101280.7173,4.421848129,9.124143795,6930.5625,576969.3281,1.43E+36,5.178970609,13.32291259,31506.25,5592359.375,1.22E+77,-1.042704657,0.593717104,0.12425625,0.043800328,1.422619656,1.704748092,2.34520788,30.25,166.375,244.6919323,1.806237488,2.467285958,37.05765625,225.5884824,440.3192359,0.073689214,1.037531783,1.1587924,1.247407805,2.934309616,-4.115823594,0.127720398,0.000266098,4.34E-06,1.016446275,1.900240112,2.586020108,44.72265625,299.0827637,802.3139579,-2.059638914,0.357071421,0.01625625,-0.002072672,0.880293416,7.932954226,52.79820073,7770992.523,21662807305,3756.010892,3,5
MoNbTaTiVW,1683.89215,548.8944072,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,5.333333344,0.334086649,3.417566645,-4.222222239,14.89668824,88.33333351,196.6666671,0.343333334,5.666666678,6.365000013,1.096647478,0.014611111,-9.111111148,-0.170277778,2838.150006,1.673976436,2.309401079,28.44444456,151.7037046,207.1272511,-1.096354892,0.578002292,0.111613889,0.03728871,1.396664158,1.228928791,1.84866618,11.67976177,39.91636426,30.49511921,1.440361586,2.054804672,17.82716064,-75.27023409,0.014666017,2.701138922,3.859622811,221.9113205,3305.743759,2948149.49,4.481117539,9.398581463,7802.777809,689245.3745,2.31E+38,5.28151025,14.02378933,38677.77795,7606629.68,2.58E+85,-1.069053484,0.585946528,0.117877778,0.040471371,1.409638564,1.734601057,2.380476145,32.11111124,181.9629641,289.0693654,1.850814234,2.522895165,40.51322517,257.8666787,581.1448359,0.092257779,1.047209376,1.202635691,1.318867397,2.994111355,-4.225973012,0.120876429,0.000213485,3.12E-06,1.014718375,2.209494674,3.018461719,83.01234635,-756.3347143,0.000110432,-1.770324187,0.41264728,0.028994522,-0.004937123,0.843430498,7.950907713,53.27429029,8055095.457,22861569218,6623.941815,4,5
MoNbTaTiW,1824.422462,393.9186261,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,5.4,0.356561355,2.977639882,-5.28,13.3808668,98.6,204,0.338,5.8,6.446,1.076735765,0.0196,-8,-0.1872,2969.15,1.686398954,2.323790008,29.16,157.464,221.4064162,-1.03124895,0.597127587,0.127136,0.045331784,1.428409168,1.091131001,1.725583925,8.866339267,26.40076541,19.64140586,1.663926098,2.297825059,27.8784,-147.197952,0.005092431,2.593825836,3.657986714,179.0475963,2395.812037,647495.291,4.591071262,9.92975327,9721.96,958585.256,6.63E+42,5.318119994,14.28285686,41616,8489664,3.95E+88,-1.084709383,0.581377674,0.114244,0.038614472,1.402140503,1.757857918,2.408318916,33.64,195.112,330.2995599,1.863459783,2.538897398,41.550916,267.8372045,630.1765385,0.073934025,1.03765879,1.159359908,1.248324277,2.935083096,-3.932225713,0.14,0.00038416,7.53E-06,1.019793341,2.079441542,2.828427125,64,-512,0.000335463,-1.675577715,0.432666153,0.03504384,-0.006560207,0.829277864,7.996030996,54.48990732,8815851.723,26175586142,4187.934219,3,5
MoNbTaVW,1824.268642,619.0199665,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0.2,0,0,0,0,5.6,0.343394817,3.64567387,-4.64,13.3808668,97.2,214,0.34,6,6.686,1.096801884,0.0124,-8.56,-0.18,3017.55,1.722766598,2.366431913,31.36,175.616,270.4264074,-1.068874424,0.585998991,0.11792,0.040493117,1.409725236,1.293541224,1.909364782,13.29093797,48.45442525,38.30857916,1.534714366,2.154065923,21.5296,-99.897344,0.009657698,2.593825836,3.657986714,179.0475963,2395.812037,647495.291,4.576770711,9.859006035,9447.84,918330.048,1.63E+42,5.365976015,14.62873884,45796,9800344,8.69E+92,-1.078809661,0.583095189,0.1156,0.039304,1.404947591,1.791759469,2.449489743,36,216,403.4287935,1.900015788,2.585730071,44.702596,298.8815569,801.1113891,0.092398567,1.047283096,1.202974373,1.319424558,2.994573699,-4.390058806,0.111355287,0.00015376,1.91E-06,1.012477199,2.14710019,2.925747768,73.2736,-627.222016,0.000191619,-1.714798428,0.424264069,0.0324,-0.005832,0.835270211,8.012200523,54.93223098,9105608.003,27476627428,7395.448341,4,5
MoNbTaW,1874.756528,367.1074299,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0,0,0,5.75,0.363696302,3.295786493,-6.5,11.52565132,112.25,227.5,0.3325,6.25,6.8675,1.076812136,0.02275,-4.9375,-0.19625,3226.15,1.749199855,2.397915762,33.0625,190.109375,314.1906603,-1.011436095,0.603072385,0.132275,0.048107928,1.438637237,1.192644832,1.815430112,10.86220861,35.79952041,26.99863996,1.871802177,2.549509757,42.25,-274.625,0.001503439,2.444575101,3.394944966,132.8406384,1531.074879,101280.7173,4.720728527,10.59481005,12600.0625,1414357.016,5.62E+48,5.427150238,15.08310313,51756.25,11774546.88,6.34E+98,-1.101115419,0.57662813,0.11055625,0.036759953,1.394449899,1.832581464,2.5,39.0625,244.140625,518.0128247,1.926800139,2.620591536,47.16255625,323.888855,960.5442011,0.07400495,1.037695589,1.159524376,1.24858992,2.93530726,-3.783190134,0.150831031,0.000517563,1.18E-05,1.023010755,1.59685913,2.222048604,24.37890625,-120.3708496,0.007172507,-1.628365922,0.443001129,0.038514063,-0.007558385,0.821806757,8.079044755,56.79920774,10408043.82,33577910578,4077.401107,3,5
MoNbTi,1412.820485,450.788684,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0.333333333,0,0,0,0,0,0,5.333333328,0.279205221,2.860264059,-3.555555548,9.133862567,70.99999993,169.9999998,0.356666666,5.333333328,6.323333327,1.076715739,0.014888889,-4.444444436,-0.137777778,2529.149997,1.673976433,2.309401076,28.44444439,151.7037032,207.1272478,-1.275808208,0.528398733,0.077955555,0.021765598,1.322078634,1.050913949,1.691231521,8.181110487,23.40013629,17.46613842,1.268511323,1.885618081,12.64197525,-44.94924526,0.028565501,2.211988668,3.02222808,83.42744539,762.0148205,9263.734749,4.262679876,8.426149769,5040.99999,357910.9989,6.84E+30,5.135798436,13.0384048,28899.99993,4912999.983,6.76E+73,-1.030953642,0.597215762,0.127211111,0.045371963,1.428559603,1.673976433,2.309401076,28.44444439,151.7037032,207.1272478,1.844246494,2.514623894,39.98454436,252.8356019,557.4279888,0.073915426,1.037649141,1.159316783,1.248254626,2.935024319,-4.207140049,0.122020035,0.000221679,3.30E-06,1.015000281,1.491654875,2.108185105,19.75308634,-87.7914947,0.011743629,-1.982113196,0.371184291,0.018982716,-0.002615396,0.871292291,7.835638556,50.29065517,6396599.707,16177960131,4117.552589,3,5
MoNbTiVZr,1134.949522,867.1352902,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,5,0.274765354,6.372338414,-2.72,13.3808668,56.6,152.8,0.356,5,5.904,1.212199109,0.00112,-8.64,-0.0968,2379.75,1.609437912,2.236067977,25,125,148.4131591,-1.291837804,0.52418065,0.075496,0.020743685,1.316221792,1.8519665,2.524349107,40.60669686,258.7596143,585.425196,1.00063188,1.64924225,7.3984,-20.123648,0.065874754,2.593825836,3.657986714,179.0475963,2395.812037,647495.291,4.036008985,7.52329715,3203.56,181321.496,3.81E+24,5.029129877,12.36122971,23347.84,3567549.952,2.29E+66,-1.032824548,0.596657356,0.126736,0.045118016,1.427607548,1.609437912,2.236067977,25,125,148.4131591,1.775630087,2.429814808,34.857216,205.7970033,366.5005419,0.192436156,1.100999141,1.46942668,1.781237712,3.360867446,-6.794426594,0.033466401,1.25E-06,1.40E-09,1.001120627,2.156402583,2.939387691,74.6496,-644.972544,0.000176887,-2.335108285,0.311126984,0.00937024,-0.000907039,0.907737535,7.774750719,48.78268135,5663210.063,13477024146,6337.761263,4,4
MoNbV,1769.68524,475.8454034,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,0,5.666666661,0.257207223,3.747451602,-3.111111105,9.133862567,68.6666666,186.6666665,0.36,5.666666661,6.723333327,1.097134485,-0.005111111,-5.999999988,-0.117777778,2609.816664,1.734601054,2.380476142,32.11111105,181.9629624,289.0693605,-1.357873204,0.507156014,0.066155556,0.017015687,1.293313103,1.321076036,1.935833568,14.04339351,52.6269375,42.41285932,1.134979931,1.763834206,9.679012308,-30.11248268,0.044551427,2.211988668,3.02222808,83.42744539,762.0148205,9263.734749,4.229263879,8.286535259,4715.111102,323770.962,6.63E+29,5.229324494,13.66260102,34844.44438,6504296.279,1.17E+81,-1.021651248,0.6,0.1296,0.046656,1.433329415,1.734601054,2.380476142,32.11111105,181.9629624,289.0693605,1.905584062,2.592939129,45.20321103,303.9162552,831.5848409,0.092701767,1.047441877,1.203704078,1.320625254,2.995569863,-5.276338482,0.071492035,2.61E-05,-1.34E-07,0.994901929,1.791759467,2.44948974,35.99999986,-215.9999987,0.002478752,-2.138955667,0.343187672,0.013871605,-0.001633767,0.888893562,7.867035254,51.08636476,6811143.02,17775834554,4624.75766,3,5
MoNbVTa,1926.765144,501.9859325,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0,0,0,0,5.5,0.257135665,3.902262967,-3.25,11.52565132,81.5,190,0.355,5.75,6.3875,1.096595648,0.0106875,6.25,-0.121875,2848.15,1.704748092,2.34520788,30.25,166.375,244.6919323,-1.358151454,0.507085461,0.06611875,0.017001489,1.29322056,1.361556633,1.975414632,15.22765626,59.42231911,49.51437181,1.178654996,1.802775638,10.5625,-34.328125,0.038774208,2.444575101,3.394944966,132.8406384,1531.074879,101280.7173,4.40060302,9.027735043,6642.25,541343.375,2.48E+35,5.247024072,13.78404875,36100,6859000,3.28E+82,-1.03563749,0.595818764,0.126025,0.044738875,1.426180654,1.749199855,2.397915762,33.0625,190.109375,314.1906603,1.854342956,2.527350391,40.80015625,260.610998,594.3687987,0.092210515,1.047184629,1.202522015,1.318680409,2.993956174,-4.538680445,0.103380366,0.000114223,1.22E-06,1.010744815,1.832581464,2.5,39.0625,244.140625,518.0128247,-2.10475935,0.349106001,0.014853516,-0.001810272,0.885259019,7.95442494,53.36806161,8111958.423,23104074381,6444.638537,4,5
MoNbVTa0.3,1706.319877,514.0260899,0,0,0,0,0,0,0,0.090909091,0,0.303030303,0,0.303030303,0.303030303,0,0,0,0,0,0,5.606060606,0.259644102,3.856292405,-3.232323232,10.83625594,73.33333334,187.8787879,0.358181818,5.696969697,6.601212121,1.096595648,0.001753903,-0.716253439,-0.121854913,2696.483333,1.723848264,2.367712104,31.42791552,176.1867991,272.0703319,-1.348443424,0.509552845,0.06741506,0.017503923,1.296468594,1.349706205,1.963744486,14.87099111,57.34689008,47.2896949,1.173201146,1.7978663,10.44791348,-33.77103345,0.039465704,2.382897543,3.291846889,117.4244428,1272.441316,50830.70804,4.295015258,8.563488386,5377.777779,394370.3705,7.05E+31,5.23579701,13.70688834,35298.43894,6631827.923,3.93E+81,-1.02671455,0.59848293,0.128294215,0.045952655,1.430725729,1.739934401,2.386832566,32.45546373,184.8977934,297.963113,1.887253287,2.569282414,43.57600147,287.6544291,735.9867538,0.092210515,1.047184629,1.202522015,1.318680409,2.993956174,-6.345911689,0.041879625,3.08E-06,5.40E-09,1.001755442,-0.33372121,0.846317576,0.513018989,-0.367451615,0.488579323,-2.10492418,0.349077231,0.01484862,-0.001809377,0.885276801,7.899703734,51.92767406,7271022.365,19606190621,6332.554686,4,5
MoNbVTa0.5,1916.97727,511.6363124,0,0,0,0,0,0,0,0.142857143,0,0.285714286,0,0.285714286,0.285714286,0,0,0,0,0,0,5.571428577,0.259772271,3.890754763,-3.265306129,11.23873213,76.00000008,188.5714288,0.357142858,5.71428572,6.531428578,1.096595648,0.005102041,1.877551024,-0.122857143,2746.007146,1.717651498,2.360387379,31.04081639,172.9416915,262.8092745,-1.347949913,0.509678596,0.067481633,0.017529857,1.296634772,1.358603165,1.972499623,15.13797263,58.8981391,48.94781659,1.183353519,1.807015808,10.66222412,-34.81542576,0.038185244,2.419366038,3.352421831,126.3090999,1419.554139,76018.50907,4.330733341,8.717797892,5776.000012,438976.0014,1.01E+33,5.239476868,13.73213125,35559.18376,6705446.089,7.86E+81,-1.029619415,0.597614305,0.127551021,0.045553936,1.429240034,1.742969306,2.39045722,32.65306129,186.5889218,303.1675794,1.876625691,2.555665975,42.65955927,278.6278645,686.378056,0.092210515,1.047184629,1.202522015,1.318680409,2.993956174,-5.278114623,0.071428573,2.60E-05,1.33E-07,1.005115079,0.629968281,1.370237579,3.525197848,6.618738829,6.537475122,-2.096733038,0.350509833,0.015093878,-0.001854391,0.884389995,7.917903189,52.40235821,7540555.246,20706418590,6521.704082,4,5
MoNbVTa0.7,1935.051805,479.5850445,0,0,0,0,0,0,0,0.189189189,0,0.27027027,0,0.27027027,0.27027027,0,0,0,0,0,0,5.540540535,0.259114354,3.905403765,-3.272461644,11.43849983,78.3783783,189.189189,0.356216216,5.729729724,6.469189183,1.096595648,0.007735573,3.929875814,-0.12293645,2790.177024,1.712092065,2.353835282,30.69758942,170.0812385,254.815699,-1.350485793,0.509032763,0.067140248,0.017397002,1.295781974,1.362361175,1.976209444,15.25217857,59.5659156,49.67013092,1.185542498,1.80899465,10.70900521,-35.0448088,0.037912984,2.436984844,3.382085131,130.8392784,1496.605063,92827.65028,4.361548102,8.853156403,6143.170185,481491.7167,1.09E+34,5.242747514,13.7546061,35792.54923,6771563.362,1.46E+82,-1.032217384,0.596838518,0.126889993,0.045200273,1.427916253,1.745668361,2.393685385,32.82980271,188.1058964,307.8860429,1.867050781,2.543460081,41.85040869,270.7382112,644.9605699,0.092210515,1.047184629,1.202522015,1.318680409,2.993956174,-4.861925719,0.087952106,5.98E-05,4.63E-07,1.00776557,1.368607826,1.982391438,15.44392391,60.69270306,50.90065613,-2.096087724,0.350622946,0.015113371,-0.001857984,0.884319859,7.933860322,52.82212627,7785087.825,21721773180,4812.562072,3,5
MoTaVW,1453.37404,668.916949,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0,0,5.5,0.357587402,3.296693728,-3.5,11.52565132,95.25,225,0.325,6,6.5775,1.097259672,0.01525,-9.1875,-0.194375,3084.4,1.704748092,2.34520788,30.25,166.375,244.6919323,-1.028375466,0.597986122,0.12786875,0.045724254,1.429875535,1.192920066,1.815679963,10.86818954,35.82909228,27.02314519,1.252762968,1.870828693,12.25,-42.875,0.030197383,2.444575101,3.394944966,132.8406384,1531.074879,101280.7173,4.556505014,9.759610648,9072.5625,864161.5781,2.33E+41,5.416100402,15,50625,11390625,5.20E+97,-1.123930097,0.570087713,0.105625,0.034328125,1.384030646,1.791759469,2.449489743,36,216,403.4287935,1.883654734,2.564663721,43.26350625,284.5657124,718.7402307,0.092815864,1.047501633,1.203978788,1.32107737,2.995944893,-4.183175776,0.12349089,0.000232563,3.55E-06,1.015366875,2.217843865,3.031088913,84.41015625,-775.5183105,0.00010231,-1.637965996,0.440879802,0.037781641,-0.007343806,0.82334909,8.034112428,55.5373748,9513523.36,29343511452,7473.626581,4,5
N0.05Co45Cr25Fe15Ni15,1409.120519,35.22798723,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0.096156123,0.337111547,-3.45,10.60066634,86.2,173.5,0.282,8.25,7.129,1.010245322,-0.0004455,7.74,-0.0477,2144.6,2.1102132,2.872281323,68.0625,561.515625,3827.625821,-2.341782127,0.310090508,0.009246,0.00088906,1.100930931,-1.087341403,0.580613079,0.113644195,0.03831077,1.400895321,1.238374231,1.857417562,11.9025,-41.063625,0.031745636,2.360916861,3.25586645,112.3741269,1191.240624,40161.58979,4.456670178,9.284395511,7430.44,640503.928,2.73E+37,5.156177599,13.17193987,30102.25,5222740.375,2.24E+75,-1.265848208,0.531036722,0.079524,0.022425768,1.32577872,2.1102132,2.872281323,68.0625,561.515625,3827.625821,1.964170972,2.670018727,50.822641,362.3146077,1247.628714,0.010193194,1.005109607,1.020595611,1.031051941,2.746274654,-7.716313311,0.021106871,1.98E-07,-8.84E-11,0.999554599,2.046401688,2.782085549,59.9076,463.684824,2298.472383,-3.042823881,0.218403297,0.00227529,-0.000108531,0.95341977,7.670708334,46.30982617,4599309.16,9863678425,17.61399362,1,5
Nb0.5Ti0.5VZr0.5,851.3417247,609.3110581,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0.2,0,0,0,0,0,0,0,4.8,0.112889326,6.682928062,-1.28,11.07573654,51.2,138.8,0.368,4.8,5.678,1.210959068,-0.0256,-9.44,0.0144,2237.15,1.568615918,2.19089023,23.04,110.592,121.5104175,-2.181347356,0.335990068,0.012744,0.001438662,1.119508026,1.899556224,2.585135985,44.66152748,298.4697753,798.6542007,0.246860078,1.13137085,1.6384,-2.097152,0.2780373,2.404756818,3.328022918,122.6719399,1358.682087,64584.94028,3.935739532,7.155417528,2621.44,134217.728,1.72E+22,4.933034048,11.78134118,19265.44,2674043.072,1.91E+60,-0.999672341,0.606630036,0.135424,0.049836032,1.444842039,1.568615918,2.19089023,23.04,110.592,121.5104175,1.736599058,2.38285543,32.239684,183.0569258,292.3641166,0.191412664,1.100435854,1.466421864,1.775776854,3.356702415,-3.665162927,0.16,0.00065536,-1.68E-05,0.974724902,2.24495598,3.072458299,89.1136,-841.232384,7.95E-05,-4.240527072,0.12,0.00020736,2.99E-06,1.014504179,7.712958013,47.29852006,5004840.123,11196578080,851.3417247,1,2
Nb30Ti40Zr30,1321.040109,105.6471878,0,0,0,0,0,0,0,0,0.4,0,0.3,0.3,0,0,0,0,0,0,0,4.6,0.110837719,4.904382794,2.4,9.053114395,59,123.2,0.366,4.6,5.417,1.129239624,-0.0114,-12.48,-0.0063,2239.95,1.526056303,2.144761059,21.16,97.336,99.48431564,-2.199688138,0.332922993,0.012285,0.001361641,1.11721359,1.590129253,2.214584113,24.05297059,117.9649751,134.8796358,0.875468737,1.549193338,5.76,13.824,11.02317638,2.203108831,3.008839377,81.95888025,741.9831186,8545.109372,4.077537444,7.681145748,3481,205379,4.20E+25,4.813809051,11.09954954,15178.24,1869959.168,3.20E+53,-1.005121946,0.604979338,0.133956,0.049027896,1.441955243,1.526056303,2.144761059,21.16,97.336,99.48431564,1.689542157,2.327444951,29.343889,158.9558467,225.2025006,0.121544507,1.06265687,1.275182128,1.439986187,3.093303532,-4.474141924,0.106770783,0.00012996,-1.48E-06,0.988664734,2.524127363,3.532704347,155.7504,-1943.764992,3.80E-06,-5.067205646,0.079372539,3.97E-05,-2.50E-07,0.993719803,7.714208823,47.32811004,5017376.002,11238671377,52.8235939,1,5
NbMoTaW,1957.697565,195.4398404,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0,0,0,5.75,0.363696302,3.295786493,-6.5,11.52565132,112.25,227.5,0.3325,6.25,6.8675,1.076812136,0.02275,-4.9375,-0.19625,3226.15,1.749199855,2.397915762,33.0625,190.109375,314.1906603,-1.011436095,0.603072385,0.132275,0.048107928,1.438637237,1.192644832,1.815430112,10.86220861,35.79952041,26.99863996,1.871802177,2.549509757,42.25,-274.625,0.001503439,2.444575101,3.394944966,132.8406384,1531.074879,101280.7173,4.720728527,10.59481005,12600.0625,1414357.016,5.62E+48,5.427150238,15.08310313,51756.25,11774546.88,6.34E+98,-1.101115419,0.57662813,0.11055625,0.036759953,1.394449899,1.832581464,2.5,39.0625,244.140625,518.0128247,1.926800139,2.620591536,47.16255625,323.888855,960.5442011,0.07400495,1.037695589,1.159524376,1.24858992,2.93530726,-3.783190134,0.150831031,0.000517563,1.18E-05,1.023010755,1.59685913,2.222048604,24.37890625,-120.3708496,0.007172507,-1.628365922,0.443001129,0.038514063,-0.007558385,0.821806757,8.079044755,56.79920774,10408043.82,33577910578,2544.017086,2,5
NbRe0.3TiZr,1145.611416,552.261931,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,0,0,4.666666662,0.115758369,4.950136032,2.666666661,9.133862567,60.66666661,124.6666665,0.366666666,4.666666662,5.489999995,1.129239624,-0.006666667,-13.55555553,-0.013333333,2273.149998,1.54044504,2.160246898,21.77777773,101.6296293,106.3426749,-2.156250286,0.340232816,0.0134,0.001551162,1.122724554,1.599415057,2.224890117,24.50384674,121.2973746,141.1941695,0.980829251,1.63299316,7.111111081,18.96296284,14.39191601,2.211988668,3.02222808,83.42744539,762.0148205,9263.734749,4.105394397,7.78888096,3680.444438,223280.2957,2.22E+26,4.825643507,11.16542281,15541.77774,1937541.622,1.39E+54,-1.003302111,0.60553007,0.134444444,0.049296296,1.442916866,1.54044504,2.160246898,21.77777773,101.6296293,106.3426749,1.702928255,2.343074902,30.14009995,165.4691485,242.2572056,0.121544507,1.06265687,1.275182128,1.439986187,3.093303532,-5.010635244,0.08164966,4.44E-05,-2.96E-07,0.993355506,2.606796466,3.681787002,183.7530857,-2490.875157,1.30E-06,-4.317488139,0.115470052,0.000177778,-2.37E-06,0.986755162,7.728921813,47.67756284,5167210.913,11745845477,3354.65914,3,4
NbTa0.3TiZr,1285.271001,270.0546359,0,0,0,0,0,0,0,0.090909091,0.303030303,0,0.303030303,0.303030303,0,0,0,0,0,0,0,4.696969697,0.110408707,4.782680093,2.644628099,10.83625594,66.06060607,131.5151515,0.364242424,4.787878788,5.48,1.129584381,-0.008539945,-6.299357202,-0.010192837,2390.422727,1.546917555,2.167249339,22.06152433,103.6223113,109.6145035,-2.20356628,0.332278057,0.012190083,0.001345891,1.116734394,1.565001078,2.186933948,22.87402887,109.3991625,119.4239889,0.97253045,1.626231256,6.994057782,18.49668174,14.07820841,2.382897543,3.291846889,117.4244428,1272.441316,50830.70804,4.190572594,8.127767594,4364.003674,288288.7276,4.90E+28,4.879122066,11.46800556,17296.23507,2274716.976,1.31E+57,-1.009935633,0.603524999,0.132672543,0.048324969,1.439423123,1.566087472,2.188122206,22.92378329,109.7562957,120.0464544,1.701105101,2.340939982,30.0304,164.566592,239.8467074,0.121849761,1.062819073,1.275960874,1.441305474,3.094370154,-4.763000711,0.092411823,7.29E-05,-6.23E-07,0.991496417,1.840447597,2.509852028,39.68190116,-249.9704699,0.001837486,-4.58607006,0.100959581,0.000103894,-1.06E-06,0.989858934,7.779225503,48.89194951,5714120.814,13659164258,2095.434909,2,5
NbTaTi,1491.254621,112.9447599,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,4.999999995,0.041096093,0.975319699,1.333333331,9.133862567,89.66666658,159.9999998,0.366666666,5.333333328,5.753333328,1.022587021,0,3.333333327,-0.022222222,2751.483331,1.609437911,2.236067976,24.99999995,124.9999996,148.4131584,-3.191842223,0.202721713,0.001688889,6.94E-05,1.041952225,-0.024989965,0.987582756,0.951248515,0.927771416,2.652014922,0.287682071,1.154700537,1.777777772,2.370370358,3.793667886,2.211988668,3.02222808,83.42744539,762.0148205,9263.734749,4.49609909,9.46924847,8040.111096,720929.9609,8.74E+38,5.075173814,12.64911063,25599.99994,4095999.985,3.07E+69,-1.003302111,0.60553007,0.134444444,0.049296296,1.442916866,1.673976433,2.309401076,28.44444439,151.7037032,207.1272478,1.749779396,2.398610708,33.10084438,190.4401912,315.2397083,0.022335711,1.011230449,1.045684216,1.069303107,2.780378365,0,0,0,0,1,1.203972802,1.825741857,11.11111107,37.03703683,28.03162472,-3.8066625,0.149071198,0.000493827,-1.10E-05,0.978022873,7.919895438,52.45458351,7570660.521,20830546228,56.47237995,1,5
NbTaTiV,1247.046866,491.8930399,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0,0,0,0,0,5,0.050682837,3.457348958,-0.25,11.52565132,76.5,160,0.3675,5.25,5.805,1.096102933,0.005625,3.25,-0.024375,2609.4,1.609437912,2.236067977,25,125,148.4131591,-2.982167946,0.22512849,0.00256875,0.000130192,1.051989188,1.240502098,1.859394783,11.95326182,41.32659729,31.73274008,-1.386294361,0.5,0.0625,-0.015625,0.778800783,2.444575101,3.394944966,132.8406384,1531.074879,101280.7173,4.337290741,8.746427842,5852.25,447697.125,1.67E+33,5.075173815,12.64911064,25600,4096000,3.07E+69,-1.00103196,0.606217783,0.13505625,0.049633172,1.444119799,1.658228077,2.291287847,27.5625,144.703125,190.5662685,1.758719615,2.409356761,33.698025,195.6170351,331.9551933,0.091761101,1.046949346,1.20144164,1.316903705,2.99248137,-5.180534331,0.075,3.16E-05,1.78E-07,1.00564085,1.178654996,1.802775638,10.5625,34.328125,25.79033992,-3.714197262,0.15612495,0.000594141,-1.45E-05,0.975919671,7.866875589,51.08228656,6808968.36,17767322039,2230.832946,2,4
