,PC1,PC2,PC3,Assigned Point
0,8.269453795664749,6.960650877593261,-3.2398698117201548,74.1950806
1,7.267523171807581,6.841027675537223,-2.5335629706107325,798.7763775
2,-4.395939727263626,-0.4935823867741659,-0.30427317621977074,2543.789092
3,-3.592984429199879,-1.4455717917942208,-1.9275209064203325,1931.08315
4,-5.796574369407359,-0.0766262374832044,-0.8042890210464931,804.9476326
5,6.411249786003887,6.702588253398892,-2.0449202588529434,1670.075761
6,-3.638406284376572,1.626873225725581,-1.5516407564930779,4525.132709
7,-2.901086888349457,-1.6453425303744602,-1.867998261691988,2252.000802
8,5.438612496200717,7.605568198296421,-2.254157633178127,2027.04134
9,-1.2230713141906795,-2.3082907707281284,-3.2123669731960236,6544.277733
10,-4.7535047380775834,-0.3865533499581321,-0.26570033932558235,2736.528243
11,5.884270161127475,6.559813657250473,-2.3704125959562115,190.4225402
12,5.474801958088509,6.490927257420201,-1.7374578798328266,743.4815481
13,-4.394950912054598,-0.4939522020491855,-0.3040333099400398,2470.041306
14,-3.591976557726141,-1.445438568838553,-1.9268529009170845,50.9062392
15,-3.5587009553081916,-1.3196464275703106,-0.3223163563300146,7868.481357
16,5.513350461716921,7.504861672311229,-2.9431631479686984,1807.173702
17,-3.638406284376572,1.6268732257255805,-1.5516407564930779,2723.039545
18,-2.5646053964645352,-1.77619929193112,1.2546433064369769,3706.509144
19,-4.753935442821431,-0.38582464161096236,-0.2640862225850502,6927.407174
20,-3.1861709207344435,2.516719688438924,-0.7769969824076355,6266.711632
21,-7.4080986940590945,0.6897465795537162,0.02653483182858751,2728.04489
22,-5.329193471398412,-1.2704599144268185,-3.037202063953628,3853.621506
23,5.658225519829828,6.5128008970601945,-1.9122711543861637,31.91041148
24,-2.955076956358827,-2.6088851008424743,-3.1950542097206807,1850.912084
25,-5.331082049490994,3.0364266763471495,1.6280364974815207,3258.306675
26,-3.4232922355491238,-2.3554608004069446,-2.932225063091865,1993.123928
27,-3.852425677015509,-2.14984743284353,-2.7749800577957906,3550.902449
28,-6.02928929236075,3.215673455448691,1.9547154591522031,142.6572694
29,-6.431339385166269,3.26971835624396,1.9992552486669855,60.4064508
30,1.1531906161433096,5.728233368789957,-0.9686918834764351,1875.641886
31,3.8681634785049934,6.869721663042724,-1.6451723515162722,175.5841643
32,-5.490279989621414,1.1577582482611883,-1.9988893486412747,4850.730727
33,-3.184789730775687,2.517406665024328,-0.776683982567936,6272.359759
34,3.3495485198440673,6.266937389218769,-2.3033968862961585,2735.158375
35,-0.17875568511701478,-0.08653640275184218,1.0824767171320935,6667.146156
36,-0.17875568511701484,-0.08653640275184202,1.0824767171320933,6220.937968
37,-0.30985050630932887,-0.23905520739731573,-0.24987466259679075,6207.801757
38,-4.194380242509831,1.965148142953163,-1.1322856022490522,4725.484368
39,-4.0595748078593505,-1.1579355433632144,1.2583363072534774,10812.23562
40,-3.476300361738275,-1.5943611469198553,0.7548042944114653,9625.063996
41,-1.101959884420026,-3.447106075394728,-2.6302983982239017,3890.001485
42,-5.327290965683032,-1.2704735919087518,-3.0354161440091967,3582.054484
43,-5.803650544511685,-0.9482395323453576,-2.26733721842923,4109.7522
44,-3.6334401244023202,-2.877019204325314,-6.093527759537718,-740.0
45,-6.3973172854114315,-1.2801441840116552,-5.385474432827264,2510.760067
46,-7.301515531690698,0.5520289439964489,-0.29895580184720194,5388.806025
47,-7.123711623304457,-0.06784812825304055,-2.9345416246976668,7957.03366
48,-7.058699310245075,0.05680395218923928,-2.058465016291916,4998.324698
49,-7.135699796823921,0.2718353838246105,-1.1768253397283477,5420.870422
50,-7.408213999728344,0.6898672407006013,0.026774972231803456,2641.778135
51,9.872896332484927,4.953559149544368,-9.02027088254111,18.55869068
52,8.311930077411217,-6.784815102873251,2.1034666798909902,5072.981925
53,8.311930077411217,-6.784815102873251,2.1034666798909902,7925.599313
54,7.886400701654591,8.018540066893936,-6.133552893192149,90.3907506
55,7.695805251054768,8.545418805205175,-1.1076981300662994,99.091102
